"id","item_group_id","title","description","link","image_link","price","availability","google_product_category","product_type","additional_image_link","sale_price","brand","age_group"
"LOGO-001","LOGO-1","Harmony Crest","A balanced and harmonious crest logo for a sophisticated brand.","https://www.example.com/logos/harmony-crest.html","https://logo.example.com/images/harmonycrest/size500x500.jpeg","59.99","in stock","Business & Industrial > Advertising & Marketing > Logos","Crest > Corporate","https://logo.example.com/images/harmonycrest/altimage.jpeg","54.99","Elegance Designs","All Ages"
"LOGO-002","LOGO-2","Zen Elegance","Embrace simplicity with this zen-inspired and elegant logo.","https://www.example.com/logos/zen-elegance.html","https://logo.example.com/images/zenelegance/size500x500.jpeg","49.99","in stock","Business & Industrial > Advertising & Marketing > Logos","Elegance > Corporate","https://logo.example.com/images/zenelegance/altimage.jpeg","45.99","Serenity Logos","All Ages"
"LOGO-003","LOGO-3","Purity Emblem","A clean and pure emblem logo for a fresh and modern brand.","https://www.example.com/logos/purity-emblem.html","https://logo.example.com/images/purityemblem/size500x500.jpeg","39.99","in stock","Business & Industrial > Advertising & Marketing > Logos","Emblem > Corporate","https://logo.example.com/images/purityemblem/altimage.jpeg","35.99","Fresh Designs","All Ages"
"LOGO-004","LOGO-4","Infinite Lines","Express endless possibilities with this infinite lines logo.","https://www.example.com/logos/infinite-lines.html","https://logo.example.com/images/infinitelines/size500x500.jpeg","54.99","in stock","Business & Industrial > Advertising & Marketing > Logos","Lines > Corporate","https://logo.example.com/images/infinitelines/altimage.jpeg","49.99","Limitless Logos","All Ages"
"LOGO-005","LOGO-5","Serenity Leaf","Find serenity with this nature-inspired leaf logo.","https://www.example.com/logos/serenity-leaf.html","https://logo.example.com/images/serenityleaf/size500x500.jpeg","49.99","in stock","Business & Industrial > Advertising & Marketing > Logos","Nature > Corporate","https://logo.example.com/images/serenityleaf/altimage.jpeg","44.99","Tranquil Designs","All Ages"
"LOGO-006","LOGO-6","Dynamic Fusion","A dynamic fusion of shapes and colors for a bold logo.","https://www.example.com/logos/dynamic-fusion.html","https://logo.example.com/images/dynamicfusion/size500x500.jpeg","64.99","in stock","Business & Industrial > Advertising & Marketing > Logos","Dynamic > Corporate","https://logo.example.com/images/dynamicfusion/altimage.jpeg","59.99","Bold Creations","All Ages"
"LOGO-007","LOGO-7","Eco Harmony","Harmonize with nature through this eco-friendly logo.","https://www.example.com/logos/eco-harmony.html","https://logo.example.com/images/ecoharmony/size500x500.jpeg","44.99","in stock","Business & Industrial > Advertising & Marketing > Logos","Eco > Corporate","https://logo.example.com/images/ecoharmony/altimage.jpeg","39.99","Green Designs","All Ages"
"LOGO-008","LOGO-8","Essence Emblem","Capture the essence of your brand with this emblem logo.","https://www.example.com/logos/essence-emblem.html","https://logo.example.com/images/essenceemblem/size500x500.jpeg","59.99","in stock","Business & Industrial > Advertising & Marketing > Logos","Emblem > Corporate","https://logo.example.com/images/essenceemblem/altimage.jpeg","54.99","Distinct Designs","All Ages"
"LOGO-009","LOGO-9","Geometric Impact","Make an impact with this geometric and modern logo.","https://www.example.com/logos/geometric-impact.html","https://logo.example.com/images/geometricimpact/size500x500.jpeg","49.99","in stock","Business & Industrial > Advertising & Marketing > Logos","Geometric > Corporate","https://logo.example.com/images/geometricimpact/altimage.jpeg","44.99","Modern Designs","All Ages"
"LOGO-010","LOGO-10","Timeless Crest","Achieve a timeless look with this classic crest logo.","https://www.example.com/logos/timeless-crest.html","https://logo.example.com/images/timelesscrest/size500x500.jpeg","54.99","in stock","Business & Industrial > Advertising & Marketing > Logos","Crest > Corporate","https://logo.example.com/images/timelesscrest/altimage.jpeg","49.99","Classic Logos","All Ages"
